campaign_external_source,campaign_external_id,category_code,is_primary
giftpop.vn,MP2205300001_V39,GIFTPOP_VN_A107,true
giftpop.vn,MP2205300004_V40,GIFTPOP_VN_A107,true
giftpop.vn,1PEMP2402560701_V41,GIFTPOP_VN_A106,true
giftpop.vn,1PEMP2425564001_V42,GIFTPOP_VN_A106,true
giftpop.vn,1PEMP2425559301_V43,GIFTPOP_VN_A106,true
giftpop.vn,1PEMP2425141501_V44,GIFTPOP_VN_A106,true
giftpop.vn,MP2106220021_V45,GIFTPOP_VN_A108,true
giftpop.vn,MP2106220019_V46,GIFTPOP_VN_A108,true
giftpop.vn,MP2106220017_V47,GIFTPOP_VN_A108,true
giftpop.vn,MP2106150005_V48,GIFTPOP_VN_A117,true
giftpop.vn,MP2106150004_V49,GIFTPOP_VN_A117,true
giftpop.vn,MP2106150003_V50,GIFTPOP_VN_A117,true
giftpop.vn,MP2008260022_V51,GIFTPOP_VN_A117,true
giftpop.vn,MP2008260022_V51,GIFTPOP_VN_A119,false
giftpop.vn,MP2008260020_V52,GIFTPOP_VN_A117,true
giftpop.vn,MP2008260020_V52,GIFTPOP_VN_A119,false
giftpop.vn,MP2306010012_V53,GIFTPOP_VN_A110,true
giftpop.vn,MP2306010010_V54,GIFTPOP_VN_A110,true
giftpop.vn,MP2306010006_V55,GIFTPOP_VN_A110,true
giftpop.vn,MP2508130002_V56,GIFTPOP_VN_A112,true
giftpop.vn,MP2508130001_V57,GIFTPOP_VN_A112,true
giftpop.vn,MP2305150004_V58,GIFTPOP_VN_A112,true
giftpop.vn,MP2305150002_V59,GIFTPOP_VN_A112,true
giftpop.vn,MP2108040002_V60,GIFTPOP_VN_A112,true
giftpop.vn,CB2512050001_V61,GIFTPOP_VN_A115,true
giftpop.vn,MP2205270001_V62,GIFTPOP_VN_A115,true
giftpop.vn,MP2405220001_V63,GIFTPOP_VN_A115,true
giftpop.vn,CB2311170002_V64,GIFTPOP_VN_A116,true
giftpop.vn,MP2308310001_V65,GIFTPOP_VN_A116,true
giftpop.vn,MP2312130005_V66,GIFTPOP_VN_A116,true
giftpop.vn,MP2109220004_V67,GIFTPOP_VN_A120,true
giftpop.vn,MP1901220001_V68,GIFTPOP_VN_A120,true
giftpop.vn,MP2106090013_V69,GIFTPOP_VN_A120,true
giftpop.vn,MP1909180003_V70,GIFTPOP_VN_A101,true
giftpop.vn,MP1909180002_V71,GIFTPOP_VN_A101,true
giftpop.vn,MP2502270004_V72,GIFTPOP_VN_A103,true
giftpop.vn,MP2502270002_V73,GIFTPOP_VN_A103,true
giftpop.vn,MP2205300001_V74,GIFTPOP_VN_A107,true
giftpop.vn,MP2205300004_V75,GIFTPOP_VN_A107,true
giftpop.vn,1PEMP2402560701_V76,GIFTPOP_VN_A106,true
giftpop.vn,1PEMP2425564001_V77,GIFTPOP_VN_A106,true
giftpop.vn,1PEMP2425559301_V78,GIFTPOP_VN_A106,true
giftpop.vn,1PEMP2425141501_V79,GIFTPOP_VN_A106,true
