campaign_external_source,campaign_external_id,brand_external_source,brand_external_id,is_primary
giftpop.vn,1PEMP2425559301_V43,giftpop.vn,LOTTERIA,true
giftpop.vn,1PEMP2425141501_V44,giftpop.vn,LOTTERIA,true
giftpop.vn,MP2106220021_V45,giftpop.vn,DOTTIE,true
giftpop.vn,MP2106220019_V46,giftpop.vn,DOTTIE,true
giftpop.vn,MP2106220017_V47,giftpop.vn,DOTTIE,true
giftpop.vn,MP2106150005_V48,giftpop.vn,BACTOM,true
giftpop.vn,MP2106150004_V49,giftpop.vn,BACTOM,true
giftpop.vn,MP2106150003_V50,giftpop.vn,BACTOM,true
giftpop.vn,MP2008260022_V51,giftpop.vn,KMARKET,true
giftpop.vn,MP2008260020_V52,giftpop.vn,KMARKET,true
giftpop.vn,MP2306010012_V53,giftpop.vn,COCOSPA,true
giftpop.vn,MP2306010010_V54,giftpop.vn,COCOSPA,true
giftpop.vn,MP2306010006_V55,giftpop.vn,COCOSPA,true
giftpop.vn,MP2508130002_V56,giftpop.vn,HPLUS,true
giftpop.vn,MP2508130001_V57,giftpop.vn,HPLUS,true
giftpop.vn,MP2305150004_V58,giftpop.vn,SMILEBEAUTY,true
giftpop.vn,MP2305150002_V59,giftpop.vn,SMILEBEAUTY,true
giftpop.vn,MP2108040002_V60,giftpop.vn,WESTWAYDENTAL,true
giftpop.vn,CB2512050001_V61,giftpop.vn,CGV,true
giftpop.vn,MP2205270001_V62,giftpop.vn,CGV,true
giftpop.vn,MP2405220001_V63,giftpop.vn,LOTTECINEMA,true
giftpop.vn,CB2311170002_V64,giftpop.vn,LIFE4CUTS,true
giftpop.vn,MP2308310001_V65,giftpop.vn,LIFE4CUTS,true
giftpop.vn,MP2312130005_V66,giftpop.vn,SUOITIEN,true
giftpop.vn,MP2109220004_V67,giftpop.vn,EXTRIM,true
giftpop.vn,MP1901220001_V68,giftpop.vn,GO2JOY,true
giftpop.vn,MP2106090013_V69,giftpop.vn,HOAYEUTHUONG,true
giftpop.vn,MP1909180003_V70,giftpop.vn,CONG,true
giftpop.vn,MP1909180002_V71,giftpop.vn,CONG,true
giftpop.vn,MP2502270004_V72,giftpop.vn,TOUSLESJOURS,true
giftpop.vn,MP2502270002_V73,giftpop.vn,TOUSLESJOURS,true
giftpop.vn,MP2205300001_V74,giftpop.vn,PIZZA4PS,true
giftpop.vn,MP2205300004_V75,giftpop.vn,PIZZA4PS,true
giftpop.vn,1PEMP2402560701_V76,giftpop.vn,LOTTERIA,true
giftpop.vn,1PEMP2425564001_V77,giftpop.vn,LOTTERIA,true
giftpop.vn,1PEMP2425559301_V78,giftpop.vn,LOTTERIA,true
giftpop.vn,1PEMP2425141501_V79,giftpop.vn,LOTTERIA,true
